,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_solar_generation,pump_storage_pumping,ifa_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,is_holiday,is_weekend
nd,1.0,0.992038146448049,0.9983373358755557,-0.15765693486268562,-0.15434449442043757,-0.458090454513908,-0.06054918859966163,0.0954001967422155,-0.2761843233010863,-0.1651985780348688,-0.10483381811777473,-0.06621588606040064,-0.22918991296131316
tsd,0.992038146448049,1.0,0.990961617893169,-0.15002059134964135,-0.17200673264892813,-0.4122414172369245,-0.13597929926273664,0.04098041286636877,-0.28600071044366154,-0.17385195413135085,-0.1521994173661532,-0.06862958615143622,-0.24945497407267914
england_wales_demand,0.9983373358755557,0.990961617893169,1.0,-0.13029846431442735,-0.16074328632940235,-0.46251889580705574,-0.06525533229992442,0.09315681950125103,-0.2674495272938521,-0.15976804916693274,-0.10431684067724957,-0.07160802916548172,-0.23386093564004762
embedded_wind_generation,-0.15765693486268562,-0.15002059134964135,-0.13029846431442735,1.0,0.16189216091805808,-0.06846272073315285,-0.07518046180116189,-0.011808168652564172,0.20044761055516913,0.16288399412950655,0.1625099700259314,-0.011367906051233391,0.0048125107868899186
embedded_solar_generation,-0.15434449442043757,-0.17200673264892813,-0.16074328632940235,0.16189216091805808,1.0,-0.25890612957497666,0.08827780770627887,0.15406108500302929,-0.102709321755908,-0.20709125075416265,0.23792017284292952,0.00023348713008989146,0.0023046493017535286
pump_storage_pumping,-0.458090454513908,-0.4122414172369245,-0.46251889580705574,-0.06846272073315285,-0.25890612957497666,1.0,-0.0319754438832098,-0.025746866083533625,0.20938314098745356,0.2126242818858673,-0.1317563063791138,-0.0021845269500562433,0.00894652229542293
ifa_flow,-0.06054918859966163,-0.13597929926273664,-0.06525533229992442,-0.07518046180116189,0.08827780770627887,-0.0319754438832098,1.0,0.37988537140888606,-0.04083658082145016,-0.1837091605648117,0.2218001183221602,0.024343030556418056,0.15461641683447896
britned_flow,0.0954001967422155,0.04098041286636877,0.09315681950125103,-0.011808168652564172,0.15406108500302929,-0.025746866083533625,0.37988537140888606,1.0,0.040448891479821794,-0.11284453628917013,0.2733991022435296,-0.01814467737835989,0.08597654962933689
moyle_flow,-0.2761843233010863,-0.28600071044366154,-0.2674495272938521,0.20044761055516913,-0.102709321755908,0.20938314098745356,-0.04083658082145016,0.040448891479821794,1.0,0.5954463513827981,-0.11004347206642937,-0.011875034341982948,0.06496029122988276
east_west_flow,-0.1651985780348688,-0.17385195413135085,-0.15976804916693274,0.16288399412950655,-0.20709125075416265,0.2126242818858673,-0.1837091605648117,-0.11284453628917013,0.5954463513827981,1.0,-0.10317649343333578,-0.005189320935096165,0.05518771592407249
nemo_flow,-0.10483381811777473,-0.1521994173661532,-0.10431684067724957,0.1625099700259314,0.23792017284292952,-0.1317563063791138,0.2218001183221602,0.2733991022435296,-0.11004347206642937,-0.10317649343333578,1.0,-0.0020946472077768533,0.06026592085810632
is_holiday,-0.06621588606040064,-0.06862958615143622,-0.07160802916548172,-0.011367906051233391,0.00023348713008989146,-0.0021845269500562433,0.024343030556418056,-0.01814467737835989,-0.011875034341982948,-0.005189320935096165,-0.0020946472077768533,1.0,-0.082751260446269
is_weekend,-0.22918991296131316,-0.24945497407267914,-0.23386093564004762,0.0048125107868899186,0.0023046493017535286,0.00894652229542293,0.15461641683447896,0.08597654962933689,0.06496029122988276,0.05518771592407249,0.06026592085810632,-0.082751260446269,1.0
