hour,Non-holiday,Holiday
0.0,22592.135569201702,21151.591836734693
0.5,22404.72602739726,20964.30612244898
1.0,22066.012753897023,20707.408163265307
1.5,21778.027397260274,20496.122448979593
2.0,21401.17430325933,20149.530612244896
2.5,21067.235238545112,19778.530612244896
3.0,20752.260273972603,19398.714285714286
3.5,20518.165328294755,19123.897959183672
4.0,20368.02503542749,18932.163265306124
4.5,20350.720358998584,18781.714285714286
5.0,20769.53708077468,18955.714285714286
5.5,21489.42796410014,19230.26530612245
6.0,23356.333490788853,20173.102040816328
6.5,25011.738781294283,20809.48979591837
7.0,27065.403401039206,21771.30612244898
7.5,28173.64666981578,22354.469387755104
8.0,29260.656589513463,23273.14285714286
8.5,29597.99338686821,23826.918367346938
9.0,29995.94426074634,24474.65306122449
9.5,29917.03967879074,24805.816326530614
10.0,29709.810581010865,25058.34693877551
10.5,29506.856872933397,25012.938775510203
11.0,29374.987718469532,25043.408163265307
11.5,29275.193197921588,25159.469387755104
12.0,29371.352857817667,25447.65306122449
12.5,29242.854038734058,25457.30612244898
13.0,29042.774208786017,25297.69387755102
13.5,28784.92442135097,25016.469387755104
14.0,28716.845063769484,24899.79591836735
14.5,28736.294756731222,24859.714285714286
15.0,28983.817194142655,25089.714285714286
15.5,29625.823807274446,25523.95918367347
16.0,30589.038734057627,26394.04081632653
16.5,31722.957959376476,27590.85714285714
17.0,32785.41001417099,28692.448979591838
17.5,33364.886159659894,29300.73469387755
18.0,33578.686820973075,29567.95918367347
18.5,33543.13745866792,29590.122448979593
19.0,33238.529522909776,29457.85714285714
19.5,32649.14076523382,29170.20408163265
20.0,31944.929145016533,28934.061224489797
20.5,31081.814832309872,28473.061224489797
21.0,30056.84175720359,27721.897959183672
21.5,28827.897968823807,26766.877551020407
22.0,27430.71658006613,25633.367346938776
22.5,25999.567312234292,24376.224489795917
23.0,24414.035528185694,22914.551020408162
23.5,23265.288015158694,21851.877551020407
