hour,Winter,Spring,Summer,Autumn
0.0,27169.042635658916,24374.206521739132,22747.797101449276,24112.836996336995
0.5,27515.41472868217,24188.221014492752,22234.164855072464,23917.884615384617
1.0,27355.470930232557,24055.789855072464,21950.864130434784,23715.70879120879
1.5,26903.517441860466,24010.331521739132,21770.648550724636,23541.521978021978
2.0,26605.93023255814,23854.259057971016,21585.608695652172,23317.85347985348
2.5,26387.042635658916,23613.708333333332,21330.967391304348,23059.48534798535
3.0,26132.253875968992,23399.721014492752,21201.731884057972,22882.391941391943
3.5,25830.492248062015,23231.965579710144,21127.472826086956,22697.26923076923
4.0,25750.441860465115,23151.07608695652,21102.052536231884,22684.527472527472
4.5,25750.08914728682,23120.967391304348,21023.179347826088,22723.52564102564
5.0,26048.96899224806,23349.161231884056,21147.672101449276,23083.04945054945
5.5,26746.672480620156,23868.384057971016,21527.911231884056,23821.96153846154
6.0,28499.374031007752,25198.427536231884,22495.13768115942,25532.606227106226
6.5,30408.261627906977,26561.48731884058,23607.110507246376,27380.516483516483
7.0,32499.887596899225,28106.233695652172,24814.523550724636,29369.44871794872
7.5,33836.686046511626,28968.51268115942,25698.271739130436,30604.5641025641
8.0,34909.40697674418,29656.568840579712,26460.543478260868,31479.51465201465
8.5,35632.895348837206,29743.978260869564,26738.46195652174,31801.42673992674
9.0,36359.96511627907,29882.97463768116,26958.085144927536,32139.056776556776
9.5,36557.49031007752,29664.721014492752,26870.873188405796,32057.884615384617
10.0,36593.11240310078,29369.527173913044,26744.614130434784,31837.37545787546
10.5,36517.43798449612,29086.034420289856,26612.70108695652,31602.360805860804
11.0,36474.16279069767,28867.161231884056,26501.356884057972,31456.826007326006
11.5,36450.06201550388,28729.903985507248,26425.869565217392,31338.139194139196
12.0,36623.02519379845,28774.291666666668,26470.795289855072,31394.481684981685
12.5,36582.56589147287,28590.869565217392,26335.66304347826,31317.45054945055
13.0,36521.68992248062,28314.990942028984,26097.153985507248,31199.067765567765
13.5,36362.52906976744,27984.896739130436,25816.034420289856,31021.93956043956
14.0,36419.43798449612,27868.742753623188,25659.67572463768,31045.897435897437
14.5,36557.05620155039,27826.63768115942,25586.246376811596,31155.065934065933
15.0,36979.6472868217,27999.355072463768,25648.969202898552,31500.271062271062
15.5,37781.25968992248,28557.315217391304,25997.264492753624,32255.710622710623
16.0,38935.457364341084,29432.641304347828,26525.396739130436,33311.78021978022
16.5,40170.808139534885,30567.902173913044,27347.480072463768,34552.29120879121
17.0,41172.67829457364,31840.338768115944,28267.726449275364,35615.54578754579
17.5,41504.242248062015,32694.172101449276,28905.902173913044,36107.18498168498
18.0,41237.56976744186,33312.07971014493,29292.244565217392,36268.168498168496
18.5,40614.02519379845,33643.82427536232,29482.603260869564,36193.31318681319
19.0,39654.21899224806,33635.510869565216,29550.679347826088,35771.00366300366
19.5,38509.492248062015,33284.09963768116,29424.84963768116,35064.80402930403
20.0,37313.92441860465,32852.77355072464,29181.023550724636,34150.77472527473
20.5,35973.28682170543,32234.57427536232,28928.19927536232,32999.95970695971
21.0,34475.308139534885,31367.976449275364,28541.05072463768,31732.50183150183
21.5,32858.18992248062,30202.971014492752,27984.72463768116,30252.70879120879
22.0,31274.01550387597,28849.858695652172,27240.181159420288,28817.68315018315
22.5,29793.74031007752,27435.82608695652,26096.786231884056,27349.227106227107
23.0,28264.674418604653,25928.302197802197,24667.922101449276,25777.003663003663
23.5,27343.73449612403,24841.595238095237,23489.126811594204,24704.52564102564
