settlement_date,nd,tsd
2019-01-01,35438.55174731183,36946.68212365591
2019-02-01,33117.07663690476,34240.51190476191
2019-03-01,30579.0,31721.227456258413
2019-04-01,28529.799305555556,29461.1125
2019-05-01,26732.21572580645,27604.516801075268
2019-06-01,25643.74722222222,26554.58402777778
2019-07-01,25742.460349462366,26960.09946236559
2019-08-01,24719.801747311827,25916.861559139787
2019-09-01,26075.131944444445,27316.75
2019-10-01,29764.038306451614,31071.308467741936
2019-11-01,33692.626388888886,35007.49166666667
2019-12-01,32514.78696236559,33904.68951612903
2020-01-01,32805.594086021505,34202.94153225807
2020-02-01,31909.54382183908,33032.95761494253
2020-03-01,29663.677658142664,30741.161507402423
2020-04-01,23027.58125,24177.984722222223
2020-05-01,21610.885080645163,22610.566532258064
2020-06-01,22674.983333333334,23983.372916666667
2020-07-01,23350.02889784946,25103.253360215054
2020-08-01,24295.801747311827,25338.675403225807
2020-09-01,25526.786111111112,26887.338194444445
2020-10-01,28766.635752688173,29833.647849462366
2020-11-01,30095.516666666666,31356.831944444446
2020-12-01,32232.896505376346,33462.87432795699
2021-01-01,33777.479838709674,34877.03629032258
2021-02-01,31839.606398809523,32924.46205357143
2021-03-01,29552.405787348587,30824.78129205922
2021-04-01,27544.989583333332,28813.70138888889
2021-05-01,26418.520161290322,27652.488575268817
2021-06-01,24992.96736111111,25999.299305555556
2021-07-01,25058.620967741936,26373.505376344085
2021-08-01,24729.497311827956,25734.15927419355
2021-09-01,26004.291666666668,27044.331944444446
2021-10-01,27258.55309139785,28495.407930107525
2021-11-01,31179.779166666667,33059.79722222222
2021-12-01,32017.905241935485,33778.602822580644
2022-01-01,32762.600134408603,34562.527553763444
2022-02-01,30422.25074404762,31893.31324404762
2022-03-01,29263.35060565276,30819.964333781965
2022-04-01,25971.95486111111,28401.840277777777
2022-05-01,23845.997311827956,27788.600134408603
2022-06-01,22853.75138888889,26975.941666666666
2022-07-01,23282.50739247312,27383.983198924732
2022-08-01,23332.897849462366,26643.75739247312
2022-09-01,24102.89652777778,28506.946527777778
2022-10-01,24704.351478494624,28515.959677419356
2022-11-01,27986.51875,31978.690972222223
2022-12-01,31136.81115591398,33280.92943548387
2023-01-01,30707.014784946237,32795.75067204301
2023-02-01,29573.839285714286,31181.39136904762
2023-03-01,29059.331763122478,30762.609017496634
2023-04-01,25521.334722222222,26963.733333333334
2023-05-01,22944.262768817203,24369.42876344086
2023-06-01,22415.633333333335,23975.963888888888
2023-07-01,21836.773521505376,23961.119623655915
2023-08-01,22269.49126344086,24299.53360215054
2023-09-01,23804.76875,26062.177083333332
2023-10-01,25526.514112903227,27599.922715053763
2023-11-01,29685.265972222223,31387.908333333333
2023-12-01,29538.50873655914,31766.083333333332
2024-01-01,31808.836021505376,34083.79637096774
2024-02-01,29526.081896551725,31303.6716954023
2024-03-01,27902.240242261105,29604.65410497981
2024-04-01,25210.95902777778,27450.348611111112
2024-05-01,23120.84005376344,24963.53561827957
2024-06-01,22103.075,24083.11388888889
2024-07-01,22822.988575268817,24540.84072580645
2024-08-01,21699.211693548386,24092.852822580644
2024-09-01,24307.61388888889,26160.397222222222
2024-10-01,26702.82123655914,28223.40860215054
2024-11-01,30581.46111111111,32492.715277777777
2024-12-01,31282.995833333334,33393.29583333333
