year,nd,embedded_wind_generation,embedded_solar_generation,embedded_wind_capacity,embedded_solar_capacity
2009,35965.668120766844,635.518711973367,0.0,1642.0689932269545,0.0
2010,36575.837527415446,733.8105737042595,1.2113586517372734,2022.7061064296433,32.42479510562161
2011,35150.82555086197,632.8236670852837,17.83702477451764,1800.1073181870076,462.9641511588081
2012,35277.46970934983,571.2245827010622,137.063090930314,2036.1201120578967,1674.4066767830045
2013,34885.63117935837,670.3259504509647,350.34221943144195,2209.9896106861515,2780.9786505308825
2014,33170.2920424706,824.4724854435437,571.788103664802,3251.8913117935836,4889.99885831716
2015,32224.054287019066,1340.6294668341134,962.067530540016,3988.5895650188377,8416.88160748944
2016,31376.01434589548,1219.1091312763292,1090.0229420471364,4432.714334509848,10427.55857907321
2017,30373.703333713893,1551.4261902043613,1190.3031738782965,5165.576606918598,12136.52762872474
2018,30247.255166114854,1669.5819728279484,1319.0800319671196,5890.249743121361,13023.314076949424
2019,29358.035392168054,1733.921052631579,1331.8731019522777,6178.360657609316,13076.624272177189
2020,27157.129682340885,1850.3342821359445,1372.031879767733,6515.478538084937,13080.0
2021,28346.087681242152,1525.646534992579,1281.0979563877154,6527.0,13080.0
2022,26622.87846786163,1781.6968261217035,1443.5119305856833,6542.658294325836,13816.059310423565
2023,26052.304372645278,1776.9581573238954,1396.5595387601325,6529.236556684553,15578.16514442288
2024,26042.506495894104,1849.2251501409487,1638.3980880009806,6575.45324181885,17064.104363279814
