hour,Weekday,Weekend
0.0,22659.865633074936,22308.263754045307
0.5,22491.53100775194,22073.084142394822
1.0,22184.437984496122,21661.653721682847
1.5,21929.43604651163,21297.131067961163
2.0,21580.94379844961,20851.637540453074
2.5,21271.11434108527,20454.368932038837
3.0,20986.09819121447,20059.210355987056
3.5,20776.35400516796,19760.891585760517
4.0,20658.972868217053,19525.39644012945
4.5,20702.65245478036,19344.778317152104
5.0,21243.877906976744,19437.56796116505
5.5,22160.834625322997,19628.527508090614
6.0,24409.881136950906,20464.95792880259
6.5,26443.273901808785,21092.763754045307
7.0,28871.921834625322,22120.57928802589
7.5,30112.37338501292,22856.027508090614
8.0,31163.09496124031,24020.587378640776
8.5,31346.05749354005,24761.770226537217
9.0,31607.175064599483,25522.27346278317
9.5,31395.304909560724,25808.941747572815
10.0,31039.09819121447,26011.333333333332
10.5,30772.850129198967,25979.4142394822
11.0,30598.78100775194,25966.1213592233
11.5,30462.969638242896,25973.65857605178
12.0,30555.710594315246,26093.606796116506
12.5,30406.709948320415,26027.415857605178
13.0,30200.882428940567,25844.941747572815
13.5,29930.899870801033,25615.629449838187
14.0,29861.801679586562,25546.24919093851
14.5,29865.005167958658,25601.673139158574
15.0,30069.762919896642,25954.92556634304
15.5,30731.751291989665,26530.40776699029
16.0,31646.88049095607,27606.686084142395
16.5,32728.779715762274,28875.894822006474
17.0,33727.31072351421,30101.563106796115
17.5,34268.2157622739,30779.93851132686
18.0,34464.97093023256,31040.671521035598
18.5,34421.45607235142,31029.650485436894
19.0,34130.13242894057,30705.43203883495
19.5,33531.86240310078,30162.21359223301
20.0,32784.73643410853,29602.608414239483
20.5,31875.535529715762,28886.81715210356
21.0,30782.00968992248,28055.26860841424
21.5,29458.460594315246,27085.016181229774
22.0,27959.46511627907,25963.770226537217
22.5,26435.897286821706,24777.912621359224
23.0,24773.44638242894,23384.88071895425
23.5,23583.498062015504,22347.238562091505
