Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.134199 | -1.624552 | 0/12 | 5.00e-04
  2/50 | -1.480927 | -1.681492 | 0/12 | 5.00e-04
  3/50 | -1.584071 | -1.839555 | 0/12 | 5.00e-04
  4/50 | -1.642844 | -1.868738 | 0/12 | 5.00e-04
  5/50 | -1.681192 | -1.869753 | 0/12 | 5.00e-04
  6/50 | -1.724870 | -1.873905 | 0/12 | 5.00e-04
  7/50 | -1.757207 | -1.915888 | 0/12 | 5.00e-04
  8/50 | -1.778024 | -1.936341 | 0/12 | 5.00e-04
  9/50 | -1.806439 | -1.902246 | 1/12 | 5.00e-04
 10/50 | -1.830571 | -1.923846 | 2/12 | 5.00e-04
 11/50 | -1.853724 | -1.948447 | 0/12 | 5.00e-04
 12/50 | -1.871470 | -2.005694 | 0/12 | 5.00e-04
 13/50 | -1.886998 | -1.989396 | 1/12 | 5.00e-04
 14/50 | -1.906930 | -1.947762 | 2/12 | 5.00e-04
 15/50 | -1.924028 | -1.998636 | 3/12 | 5.00e-04
 16/50 | -1.938289 | -1.985949 | 4/12 | 5.00e-04
 17/50 | -1.949792 | -1.907355 | 5/12 | 5.00e-04
 18/50 | -1.972329 | -1.966885 | 6/12 | 2.50e-04
 19/50 | -1.990280 | -2.001959 | 7/12 | 2.50e-04
 20/50 | -2.006291 | -2.015751 | 0/12 | 2.50e-04
 21/50 | -2.018587 | -1.987953 | 1/12 | 2.50e-04
 22/50 | -2.023061 | -2.016565 | 0/12 | 2.50e-04
 23/50 | -2.030564 | -2.082278 | 0/12 | 2.50e-04
 24/50 | -2.033319 | -2.034073 | 1/12 | 2.50e-04
 25/50 | -2.044025 | -2.033417 | 2/12 | 2.50e-04
 26/50 | -2.047352 | -2.057021 | 3/12 | 2.50e-04
 27/50 | -2.053662 | -1.946910 | 4/12 | 2.50e-04
 28/50 | -2.062347 | -2.021987 | 5/12 | 2.50e-04
 29/50 | -2.068916 | -2.047764 | 6/12 | 1.25e-04
 30/50 | -2.079765 | -2.026044 | 7/12 | 1.25e-04
 31/50 | -2.083852 | -2.006860 | 8/12 | 1.25e-04
 32/50 | -2.081530 | -2.024242 | 9/12 | 1.25e-04
 33/50 | -2.088754 | -2.004501 | 10/12 | 1.25e-04
 34/50 | -2.091377 | -1.988134 | 11/12 | 1.25e-04
 35/50 | -2.094744 | -2.015104 | 12/12 | 6.25e-05
